"gene","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"SAMD3","OK",0,142.941599008597,0.271061507385756,"SAMD3",0
"RPS12","OK",0,219.019300248981,0.415288651396449,"RPS12",0
"SGK1","OK",0,54.8643130594901,0.103992932743967,"SGK1",0
"MYB","OK",0,71.2954510620035,0.13511196317422,"MYB",0
"PHACTR2","OK",0,60.2516537635711,0.114228570620546,"PHACTR2",0
"ZC3H12D","OK",0,107.944739803883,0.204679146833742,"ZC3H12D",0
"SYNE1","OK",0,109.745187306551,0.208100762052948,"SYNE1",0
"SNX9","OK",0,178.482790731601,0.338458664032795,"SNX9",0
"SYTL3","OK",0,66.7410234650211,0.126540139590609,"SYTL3",0
"EZR","OK",0,73.2024409486624,0.138776703205451,"EZR",0
"AGPAT4","OK",0,60.2201160279108,0.114171938603402,"AGPAT4",0
"CCR6","OK",0,119.326797592444,0.226018471324068,"CCR6",0
"CHST12","OK",0,129.621671857983,0.245796824061989,"CHST12",0
"GLCCI1","OK",0,90.511100775914,0.171621466878436,"GLCCI1",0
"AHR","OK",0,59.0910206902024,0.112028704594063,"AHR",0
"JAZF1","OK",0,44.5023658606399,0.0843609078997057,"JAZF1",0
"SEPTIN7","OK",0,49.5375569364247,0.0939100189473171,"SEPTIN7",0
"AOAH","OK",0,162.967270724982,0.309043215959697,"AOAH",0
"GPR141","OK",0,67.1560003939899,0.127277436435572,"GPR141",0
"TRGC2","OK",0,60.9472020596556,0.115544368121885,"TRGC2",0
"TRGV9","OK",0,53.8046315185546,0.101979985845412,"TRGV9",0
"TRG-AS1","OK",0,90.3183796626779,0.171253780995922,"TRG-AS1",0
"TRGV7","OK",0,45.2611177434248,0.0857844766315882,"TRGV7",0
"TRGV4","OK",0,77.7860461889923,0.147454443220051,"TRGV4",0
"TRGV3","OK",0,51.067314180759,0.0967934106109328,"TRGV3",0
"TRGV2","OK",0,54.8891389597468,0.104045739475369,"TRGV2",0
"RALA","OK",0,78.6298717094478,0.1490877725587,"RALA",0
"AUTS2","OK",0,130.936752962362,0.248294172856034,"AUTS2",0
"LAT2","OK",0,111.738457451788,0.211793416657137,"LAT2",0
"ABCB1","OK",0,43.1449494834821,0.0817800510607508,"ABCB1",0
"CDK6","OK",0,55.4488819965826,0.105121866972243,"CDK6",0
"GNG11","OK",0,75.5146163005529,0.141700255507419,"GNG11",0
"PIK3CG","OK",0,50.9277390244788,0.0965456334509737,"PIK3CG",0
"LRRN3","OK",0,67.6326966698867,0.128172013362535,"LRRN3",0
"TRBV2","OK",0,79.0474337830626,0.149796623298498,"TRBV2",0
"TRBV7-2","OK",0,65.5556551908672,0.124241230615472,"TRBV7-2",0
"TRBV7-3","OK",0,54.7516760395986,0.103696851845166,"TRBV7-3",0
"TRBV10-1","OK",0,132.355250947415,0.250485173971015,"TRBV10-1",0
"TRBV11-2","OK",0,61.9946212278797,0.117462262717144,"TRBV11-2",0
"TRBV12-4","OK",0,65.499973155388,0.124112721622556,"TRBV12-4",0
"TRBV20-1","OK",0,48.7890627768359,0.0924626387427289,"TRBV20-1",0
"TRBV29-1","OK",0,62.9668168989573,0.119297814249395,"TRBV29-1",0
"GIMAP7","OK",0,86.8456010569115,0.164670678671644,"GIMAP7",0
"GIMAP4","OK",0,43.1159239580319,0.0817319343203005,"GIMAP4",0
"GIMAP1","OK",0,39.5898960243452,0.0750429677057931,"GIMAP1",0
"GIMAP5","OK",0,64.2536002725026,0.121821968349799,"GIMAP5",0
"MYOM2","OK",0,39.3267929147357,0.0744846592215976,"MYOM2",0
"MFHAS1","OK",0,66.9802138771448,0.126972962359312,"MFHAS1",0
"MICU3","OK",0,44.3747370965286,0.084074903502188,"MICU3",0
"CSGALNACT1","OK",0,103.612729633231,0.196459760328776,"CSGALNACT1",0
"DOK2","OK",0,52.410391649579,0.0993586915751302,"DOK2",0
"DOCK5","OK",0,45.7944659002303,0.0867716398394447,"DOCK5",0
"DUSP4","OK",0,105.375411969715,0.199807370320648,"DUSP4",0
"SARAF","OK",0,72.7145672238966,0.137841552805344,"SARAF",0
"LEPROTL1","OK",0,65.4517595220482,0.124092745605723,"LEPROTL1",0
"PLEKHA2","OK",0,47.6292957077777,0.0902928080828717,"PLEKHA2",0
"CEBPD","OK",0,159.045698585038,0.3015091422667,"CEBPD",0
"LYN","OK",0,89.7422972014336,0.170131680674325,"LYN",0
"RPS20","OK",0,39.8842099013352,0.0755947675139943,"RPS20",0
"TOX","OK",0,53.3018892193985,0.101045071158861,"TOX",0
"PDE7A","OK",0,50.536416292907,0.0958064067687691,"PDE7A",0
"RPL7","OK",0,58.4646486498061,0.11083020107551,"RPL7",0
"PKIA","OK",0,157.352176278051,0.298368148409168,"PKIA",0
"ZBTB10","OK",0,45.9509948524603,0.087094469451687,"ZBTB10",0
"ZNF704","OK",0,40.8250251935233,0.0773507195815231,"ZNF704",0
"CA2","OK",0,74.857421556146,0.141646605563234,"CA2",0
"RPL30","OK",0,139.109387623627,0.263686186726446,"RPL30",0
"RNF19A","OK",0,113.211151601282,0.214674778630579,"RNF19A",0
"PABPC1","OK",0,151.109374902283,0.286515185720269,"PABPC1",0
"NCALD","OK",0,47.6960266670165,0.0904068341795139,"NCALD",0
"EIF3E","OK",0,60.5441831250526,0.114786865645622,"EIF3E",0
"TRPS1","OK",0,41.0119478412995,0.0777392323765157,"TRPS1",0
"MTSS1","OK",0,122.123187072096,0.231562269076152,"MTSS1",0
"MYC","OK",0,116.908980364454,0.221664232285464,"MYC",0
"SLA","OK",0,63.0687539182199,0.119575265167402,"SLA",0
"LINC02055","OK",0,40.8249020045479,0.0772523709146502,"LINC02055",0
"PTK2","OK",0,49.3620233998775,0.0935314064064033,"PTK2",0
"RPL8","OK",0,109.541052096232,0.207625690588172,"RPL8",0
"BNC2","OK",0,42.3023527830364,0.0800990918933023,"BNC2",0
"RPS6","OK",0,112.812391816367,0.213826857313426,"RPS6",0
"LINGO2","OK",0,42.1987541880972,0.0798524594411761,"LINGO2",0
"AQP3","OK",0,83.3216749049485,0.157975357715045,"AQP3",0
"ANXA1","OK",0,69.2691129353143,0.131329199920195,"ANXA1",0
"OSTF1","OK",0,51.814151832685,0.0982291628809036,"OSTF1",0
"PCSK5","OK",0,38.8074297872565,0.0735264821000481,"PCSK5",0
"TLE1","OK",0,55.7972385992015,0.105692206462234,"TLE1",0
"GOLM1","OK",0,60.2840569106225,0.114261585620411,"GOLM1",0
"GADD45G","OK",0,39.9937273865491,0.075766025628237,"GADD45G",0
"NINJ1","OK",0,39.2632159757208,0.0744241694860309,"NINJ1",0
"NR4A3","OK",0,50.7429389551473,0.096195115080568,"NR4A3",0
"AKNA","OK",0,145.215597244544,0.275373518251944,"AKNA",0
"WHRN","OK",0,46.5182295571204,0.0881824052262396,"WHRN",0
"TNFSF8","OK",0,48.2519966756561,0.0914573934371666,"TNFSF8",0
"TRAF1","OK",0,51.2017583133832,0.097066513648696,"TRAF1",0
"PTGS1","OK",0,53.1740072314849,0.0991597842627212,"PTGS1",0
"RPL35","OK",0,48.4129581837821,0.091745761262408,"RPL35",0
